,x,y,"""note""","""date""","""heure""",,nbr likes,nbr com
84,49.33521,-0.47195,Graye-sur-Mer,14/07/2017,16:10,,,
85,49.33761,-0.46881,Courseulles-sur-Mer,14/07/2017,16:14,,,
86,49.33762,-0.46875,Courseulles-sur-Mer,14/07/2017,16:17,,,
87,49.32875,-0.47616,Graye-sur-Mer,14/07/2017,16:25,,,
88,49.31473,-0.48539,Banville,14/07/2017,16:28,,,
89,49.31235,-0.48807,Banville,14/07/2017,16:29,,,
90,49.31198,-0.49064,Banville,14/07/2017,16:31,,,
91,49.31195,-0.49064,Banville,14/07/2017,16:38,,,
92,49.32791,-0.46119,Courseulles-sur-Mer,14/07/2017,18:33,,,
93,49.3297,-0.45708,Courseulles-sur-Mer,14/07/2017,18:37,,,
94,49.33085,-0.46117,Courseulles-sur-Mer,14/07/2017,18:38,,,
95,49.33563,-0.47276,Graye-sur-Mer,14/07/2017,18:41,,,
96,49.34228,-0.52401,Ver-sur-Mer,14/07/2017,18:46,,,
97,49.33666,-0.52427,Ver-sur-Mer,14/07/2017,18:52,,,
98,49.32967,-0.52722,Ver-sur-Mer,14/07/2017,23:14,,,
99,49.31191,-0.49088,Banville,14/07/2017,23:20,,,
100,49.31199,-0.49025,Banville,15/07/2017,01:42,,,
101,49.33683,-0.52413,Ver-sur-Mer,15/07/2017,11:08,,,
102,49.33999,-0.62346,Arromanches-les-Bains,15/07/2017,16:14,,,
103,49.33881,-0.60974,Saint-Côme-de-Fresné,15/07/2017,17:25,,,
104,49.34169,-0.51854,Ver-sur-Mer,15/07/2017,20:08,,1,
105,49.33044,-0.45525,Courseulles-sur-Mer,15/07/2017,22:08,,,
106,49.34297,-0.51133,Ver-sur-Mer,15/07/2017,22:57,,,
107,49.32736,-0.47004,Graye-sur-Mer,15/07/2017,23:01,,,
108,49.32967,-0.47339,Graye-sur-Mer,16/07/2017,01:38,,,
109,49.33686,-0.52413,Ver-sur-Mer,16/07/2017,11:33,,2,
110,49.3426,-0.50736,Ver-sur-Mer,16/07/2017,16:41,,,
111,49.2931,-0.27628,Ouistreham,16/07/2017,17:52,,,
112,49.32668,-0.3821,Saint-Aubin-sur-Mer,16/07/2017,18:42,,,
113,49.33681,-0.52405,Ver-sur-Mer,16/07/2017,19:04,,1,
114,49.34342,-0.51639,Ver-sur-Mer,16/07/2017,21:27,,,
115,49.2558,0.05481,Annebault,16/07/2017,22:22,,,
116,49.33299,0.40475,Fort-Moville,16/07/2017,22:58,,,
117,49.35063,0.44187,Toutainville,16/07/2017,23:02,,,
118,49.36086,0.86351,Bosgouet,16/07/2017,23:25,,,
119,49.11075,1.33824,Saint-Aubin-sur-Gaillon,16/07/2017,23:50,,,
120,49.05729,1.43382,Douains,16/07/2017,23:55,,,
121,48.62012,2.42764,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:01,,,
122,48.62902,2.4366,Préfecture de l'Essonne,17/07/2017,00:06,,,
123,48.62319,2.42912,Restaurant Al Tannour,17/07/2017,00:11,,,
124,48.62319,2.42912,Restaurant Al Tannour,17/07/2017,00:14,,,
125,48.61988,2.42838,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:18,,,
126,48.61974,2.42798,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:21,,,
127,48.62152,2.42796,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:25,,,
128,48.61969,2.42792,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:30,,,
129,48.62155,2.42789,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,00:42,,,
130,48.62509,2.42784,Gare d'Evry Courcouronnes,17/07/2017,01:04,,,
131,48.62014,2.42772,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,01:10,,,
132,48.62012,2.42764,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,01:11,,,
133,48.62166,2.42754,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,01:24,,,
134,48.63633,2.40746,Orangis-Bois-de-l'Epine,17/07/2017,01:26,,,
135,48.67605,2.38705,Gare de Viry - Chatillon,17/07/2017,07:24,,,
136,48.65544,2.37897,Commune de Grigny,17/07/2017,10:26,,,
137,48.67748,2.35357,Société Générale,17/07/2017,12:22,,,
138,48.61016,2.32521,Complexe sportif Le Colombier,17/07/2017,13:11,,,
139,48.61478,2.30666,DOMLAVAGE,17/07/2017,13:26,,,
140,48.64707,2.3065,Gare de Sainte Geneviève des Bois,17/07/2017,13:45,,,
141,48.65464,2.30622,Camping Paris Beau Village,17/07/2017,14:21,,,
142,48.64162,2.30568,Gare de Saint-Michel sur Orge,17/07/2017,15:11,,,
143,48.58798,2.30469,O' Marché Frais - Brétigny-sur-Orge,17/07/2017,15:12,,,
144,48.58798,2.30469,Parking Centre Commercial Maison Neuve,17/07/2017,15:21,,,
145,48.58693,2.30429,Parking Centre Commercial Maison Neuve,17/07/2017,15:23,,,
146,48.58467,2.30406,Auchan BRETIGNY,17/07/2017,15:39,,,
147,48.58484,2.30402,Auchan BRETIGNY,17/07/2017,15:42,,,
148,48.60682,2.30192,Gare Brétigny,17/07/2017,15:45,,,
149,48.60695,2.3019,Gare Brétigny,17/07/2017,15:46,,,
150,48.59071,2.30144,Grand frais,17/07/2017,15:47,,,
151,48.76614,2.22999,Dans le RER vers Le Cottage,17/07/2017,15:53,,,
152,48.78729,2.15584,Versailles ,17/07/2017,15:55,,,
153,48.83239,2.14735,Gymnase Yves du Manoir,17/07/2017,15:55,,,
154,48.91823,2.00484,Centre Commercial ART DE VIVRE,17/07/2017,16:07,,,
155,48.9563,1.93629,Autoroute de Normandie ,17/07/2017,16:13,,,
156,48.9705,1.88914,Aubergenville ,17/07/2017,16:13,,,
157,48.96392,1.79043,Porcheville ( Autoroute de Normandie ),17/07/2017,16:22,,,
158,48.98421,1.6785,Buchelay,17/07/2017,17:03,,,
177,48.99161,1.63939,Rosny-sur-Seine,17/07/2017,21:09,,,
178,49.02573,1.5729,Le Mesnil Renard,17/07/2017,21:36,,,
179,48.61984,2.42825,"Résidence étudiante Evry, Les Estudines du Parc",17/07/2017,21:36,,,
180,48.77238,2.22914,,17/07/2017,22:13,,,
181,48.97773,1.71205,,17/07/2017,22:18,,,
182,48.62012,2.42768,,18/07/2017,04:13,,,
183,48.62563,2.42903,,18/07/2017,11:14,,,
184,48.62113,2.42744,,18/07/2017,11:31,,,
185,48.62122,2.42753,,18/07/2017,18:55,,,
186,48.62569,2.42854,,18/07/2017,19:00,,,
187,48.63054,2.42799,,18/07/2017,19:04,,,
188,48.62521,2.42822,,18/07/2017,19:47,,,
189,48.62046,2.42852,,18/07/2017,19:55,,,
190,48.62003,2.42821,,18/07/2017,19:55,,,
191,48.62003,2.42821,,19/07/2017,19:55,,,
192,48.61981,2.42799,,19/07/2017,07:54,,,
193,48.61981,2.42799,,19/07/2017,07:55,,,
194,48.62306,2.42787,,19/07/2017,11:57,,,
195,48.62697,2.42933,,19/07/2017,12:01,,,
196,48.62841,2.42813,,19/07/2017,12:28,,,
197,48.62621,2.42831,,19/07/2017,14:53,,,
198,48.62042,2.42756,,19/07/2017,15:01,,,
199,48.62054,2.42755,,19/07/2017,15:01,,,
200,48.62054,2.42755,,19/07/2017,18:52,,,
201,48.62327,2.42777,,19/07/2017,19:40,,,
202,48.62694,2.42917,,19/07/2017,19:45,,,
203,48.62676,2.42925,,19/07/2017,19:57,,,
204,48.62023,2.42797,Résidence Etudiante les Estudines du Parc,19/07/2017,20:40,,,
205,48.62017,2.42791,Résidence Etudiante les Estudines du Parc,19/07/2017,20:40,,,
206,48.62023,2.42797,Résidence Etudiante les Estudines du Parc,19/07/2017,20:40,,,
207,48.61947,2.42792,Résidence Etudiante les Estudines du Parc,20/07/2017,00:08,,,
208,48.6197,2.42751,Résidence Etudiante les Estudines du Parc,20/07/2017,09:13,,1,
209,48.61951,2.42808,Résidence Etudiante les Estudines du Parc,20/07/2017,09:16,,3,
210,48.6197,2.42751,Résidence Etudiante les Estudines du Parc,21/07/2017,09:13,,,
211,48.61951,2.42808,Résidence Etudiante les Estudines du Parc,21/07/2017,09:16,,,
212,48.61982,2.42811,Résidence Etudiante les Estudines du Parc,21/07/2017,02:56,,,
213,48.62296,2.42756,Cours Monseigneur Romera,21/07/2017,11:52,,,
214,48.62583,2.42881,Evry Courcouronnes Gare RER,21/07/2017,11:53,,,
215,48.62015,2.42856,Résidence Etudiante les Estudines du Parc,21/07/2017,12:19,,,
216,48.62273,2.4275,IUT Evry,21/07/2017,15:37,,,
217,48.62693,2.42935,Evry Courcouronnes Gare RER,21/07/2017,15:41,,,
218,48.62396,2.42788,Résidence Etudiante les Estudines du Parc,21/07/2017,16:08,,,
219,48.61979,2.42779,Résidence Etudiante les Estudines du Parc,21/07/2017,16:12,,,
220,48.62084,2.42748,Résidence Etudiante les Estudines du Parc,21/07/2017,16:12,,,
221,48.61979,2.42779,Résidence Etudiante les Estudines du Parc,21/07/2017,20:29,,,
222,48.61979,2.42797,Résidence Etudiante les Estudines du Parc,22/07/2017,09:46,,1,
223,48.61966,2.42789,Résidence Etudiante les Estudines du Parc,22/07/2017,10:03,,1,
224,48.61963,2.42749,Résidence Etudiante les Estudines du Parc,22/07/2017,18:11,,1,
225,48.61963,2.42749,Résidence Etudiante les Estudines du Parc,22/07/2017,21:34,,,
226,48.61617,2.42571,Courcouronnes,23/07/2018,08:23,,2,
227,48.61972,2.42742,Courcouronnes,23/07/2017,10:29,,,
228,48.61969,2.42738,Résidence Etudiante les Estudines du Parc,23/07/2017,11:08,,2,
229,48.62673,2.42919,Evry Courcouronnes Gare RER,23/07/2017,16:19,,1,
230,48.61987,2.42801,Résidence Etudiante les Estudines du Parc,23/07/2017,16:34,,,
231,48.61984,2.42805,Résidence Etudiante les Estudines du Parc,23/07/2017,16:34,,,
